video_id,comment_id,author,text,clean_text,language,like_count,relevance_score
OflReU5RlZM,Ugwu15Vdu9sHJYgmRpp4AaABAg,@RolaHoh,Here even Celibidache could take some lessons,Here even Celibidache could take some lessons,en,0,0.25
OflReU5RlZM,Ugy36WLEwzH3nzQFgWp4AaABAg,@yaakovdaniels914,Eschenbach interpreting Bruckner. Bliss!,Eschenbach interpreting Bruckner. Bliss!,de,2,0.25
OflReU5RlZM,Ugwzx0V_nPzc64BuXvB4AaABAg,@user-js2dr9gv1u,I wish they hadn&#39;t shown so much of the stupid church.,I wish they hadn't shown so much of the stupid church.,en,0,0.25
OflReU5RlZM,UgwkV8CrNb20SprG57h4AaABAg,@Musicforever60,"Terence Fletcher, despite his relentlessly abusive methods, I&#39;d argue, conducts one of the best renditions of this symphony I know of.","Terence Fletcher, despite his relentlessly abusive methods, I'd argue, conducts one of the best renditions of this symphony I know of.",en,6,0.25
OflReU5RlZM,Ugy-TRjva0y4UTDl8DJ4AaABAg,@Namuchat,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1132"">18:52</a> &quot;Durch - - -wissend&quot;"," ""Durch - - -wissend""",de,0,0.25
OflReU5RlZM,UgwnP9X3eLJ46kMy_D94AaABAg,@jonvielhaber8703,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1553"">25:53</a>",,unknown,0,0.25
OflReU5RlZM,UgyR_xzBXKAbLN5Jt2F4AaABAg,@markrankin6715,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1894"">31:34</a> As always under Maestro Eschenbach, a wonderfully tailored and crafted performance. I just prefer the first movement a tiny bit SLOWER.<br>The second movement was perfect - could not fault it in any way. The highlight was the superb principal oboe.<br>What was the venue ? It was ideal for this landmark event."," As always under Maestro Eschenbach, a wonderfully tailored and crafted performance. I just prefer the first movement a tiny bit SLOWER.The second movement was perfect - could not fault it in any way. The highlight was the superb principal oboe.What was the venue ? It was ideal for this landmark event.",en,2,0.25
OflReU5RlZM,Ugxo3LMxP-KtAUGkwPZ4AaABAg,@Kirbyofstar,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=394"">6:34</a>",,unknown,1,0.25
OflReU5RlZM,UgzrLdrCqlXDsWn28hJ4AaABAg,@hughanderson7285,Brass players can hope for a cue after 88 measures rest when the conductor has no score.,Brass players can hope for a cue after 88 measures rest when the conductor has no score.,en,0,0.25
OflReU5RlZM,UgxHmRowdFjjWlJfZyJ4AaABAg,@jurigagarin3966,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=809"">13:29</a> - <br><a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1315"">21:55</a> - <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1583"">26:23</a> - <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1806"">30:06</a><br><a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=2847"">47:27</a> - <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=3393"">56:33</a> - <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=3455"">57:35</a>", - - - - - ,unknown,2,0.25
OflReU5RlZM,UgzIJPV3UQbrl-Q3kGV4AaABAg,@DonnaLee-g8q,Wilson Edward Hernandez William Perez Joseph,Wilson Edward Hernandez William Perez Joseph,de,0,0.25
OflReU5RlZM,UgxHXGm8BTzI3anFdaZ4AaABAg,@TONTOKOTON1123,素晴らしい<br>何度 聴いても 心に染みる･･特に１楽章のホルンと２楽章のすべて･･･<br>このような音楽こそが 私の財産です。<br>ありがとうございます。,素晴らしい何度 聴いても 心に染みる･･特に１楽章のホルンと２楽章のすべて･･･このような音楽こそが 私の財産です。ありがとうございます。,ja,2,0.25
OflReU5RlZM,UgyavbtaUeqJbU9obk14AaABAg,@TONTOKOTON1123,私は 聴いて喜んでいるだけのド素人ですが ブルックナーは 自分の好みの作曲家です。<br>６番は 特に お気に入りです❤<br>私が 中学生か高校生の頃 ピアノを弾いていると 近所の小さな男の子が 庭で 聴いていたので 少しびっくりしましたが その子は クラシック音楽が好きということでした。こんなに小さな子を夢中にさせるきっかけとなった音楽は 何だったんだろう？と 思ったことを 時々 思い出します。その日以降 その子の家から ピアノの音が聴こえてきて その子が弾いているのだとわかりました。私より余程 上手でした😂😊<br>ユーチューブに 感謝です。,私は 聴いて喜んでいるだけのド素人ですが ブルックナーは 自分の好みの作曲家です。６番は 特に お気に入りです❤私が 中学生か高校生の頃 ピアノを弾いていると 近所の小さな男の子が 庭で 聴いていたので 少しびっくりしましたが その子は クラシック音楽が好きということでした。こんなに小さな子を夢中にさせるきっかけとなった音楽は 何だったんだろう？と 思ったことを 時々 思い出します。その日以降 その子の家から ピアノの音が聴こえてきて その子が弾いているのだとわかりました。私より余程 上手でした😂😊ユーチューブに 感謝です。,ja,6,0.25
OflReU5RlZM,Ugy7qARgWgW1eSzsc294AaABAg,@fastfingers110,I SEE THAT KNOW ONE UNDER 80 WAS ALLOUD AT THIS PERROMANCE,I SEE THAT KNOW ONE UNDER 80 WAS ALLOUD AT THIS PERROMANCE,en,0,0.25
OflReU5RlZM,UgyfHOiY6vyyUxVu9wR4AaABAg,@patrickloiseleur,"The 6th is my personal favorite !! The most inventive, personal and surprising. Of course it doesn&#39;t mean i dislike its more famous sisters like 5, 7, 8, 9 :)","The 6th is my personal favorite !! The most inventive, personal and surprising. Of course it doesn't mean i dislike its more famous sisters like 5, 7, 8, 9 :)",en,1,0.25
OflReU5RlZM,Ugy_dBohYBWmRzF0Pet4AaABAg,@jimwilt4944,"This orchestra never fails to please. My old boss on the podium. His Bruckner is not to everyone’s liking, but I always felt it transformative.","This orchestra never fails to please. My old boss on the podium. His Bruckner is not to everyone’s liking, but I always felt it transformative.",en,2,0.25
OflReU5RlZM,Ugz-9xk2VKp_2O3wWUh4AaABAg,@francoismagne5863,The Adagio is pure heaven.,The Adagio is pure heaven.,en,4,0.25
OflReU5RlZM,UgzH2jcZf0sXw68NEF14AaABAg,@slendrmusic,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=3559"">59:19</a>",,unknown,0,0.25
OflReU5RlZM,UgzKRbM50wd9rwdyo3p4AaABAg,@berndhuebel5665,"Die Musik beginnt gerade! Da ich aber diese Interpretation schon zig male gehört habe, sage ich schon mal:  Ein großartiger Christoph Eschenbach, der ein großartiges  HR Sinfonie Orchester leitet! Ich denke besonders an das Horn und die Percussion! <br>Viele Grüße Bernd.","Die Musik beginnt gerade! Da ich aber diese Interpretation schon zig male gehört habe, sage ich schon mal: Ein großartiger Christoph Eschenbach, der ein großartiges HR Sinfonie Orchester leitet! Ich denke besonders an das Horn und die Percussion! Viele Grüße Bernd.",de,1,0.25
OflReU5RlZM,Ugz46yWyUy1s7FjSiNV4AaABAg,@barrybernstein9049,The most underrated  of  Bruckner&#39;s  masterpieces.  And yet  its  his most original  symphony. This  with the 9th  <br>were the only  two symphonies of  Bruckner  that another Bernstein  loved  and recorded.  Some  of the great  film  score composers  for  Blockbuster films  .  In the past  Alfred Newman  in the past  . And the likes of  John  Williams  <br>would  of or will tell  you how much they are  indebited  to Bruckner.<br>In this  symphony   it is  fun  to  suss  out  some of these.  I will give  you two for a start . Then try and  find some  more <br>and you will.  The  sonata  form  second movement&#39;s main theme  is  the main theme for Alfred Newman&#39;s   &quot;  Song  <br>of Benadette&quot;   Nine minutes  into the opening movement  think of the main theme of Maurice Jarre&#39;s    &quot; Lawrence  of <br>Arabia&quot;   And carry on from there.<br>The second  movement  is near heaven  for  me.  BUT   with the  chorale  coda  of the  first movement with  more than <br>thirty  modulations  we  are  into  Bach  territory. What  does  amuse me  is  that Hans Zimmer  doesn&#39;t  rate  Bruckner.<br>May  I suggest to  Mr Zimmer that  his finest film score music  Chevaliers De Sangreal from &quot;  The  Da  Vinci Code&quot; has   <br>more than a resemblance  to   some of Bruckner&#39;s  final  notes  he composed  before dying   without completing  <br>his 9th symphony.  The  minimalism  before  the  coda we  hear  in  the completed  versions.,"The most underrated of Bruckner's masterpieces. And yet its his most original symphony. This with the 9th were the only two symphonies of Bruckner that another Bernstein loved and recorded. Some of the great film score composers for Blockbuster films . In the past Alfred Newman in the past . And the likes of John Williams would of or will tell you how much they are indebited to Bruckner.In this symphony it is fun to suss out some of these. I will give you two for a start . Then try and find some more and you will. The sonata form second movement's main theme is the main theme for Alfred Newman's "" Song of Benadette"" Nine minutes into the opening movement think of the main theme of Maurice Jarre's "" Lawrence of Arabia"" And carry on from there.The second movement is near heaven for me. BUT with the chorale coda of the first movement with more than thirty modulations we are into Bach territory. What does amuse me is that Hans Zimmer doesn't rate Bruckner.May I suggest to Mr Zimmer that his finest film score music Chevaliers De Sangreal from "" The Da Vinci Code"" has more than a resemblance to some of Bruckner's final notes he composed before dying without completing his 9th symphony. The minimalism before the coda we hear in the completed versions.",en,0,0.25
OflReU5RlZM,UgwkuBEW4pCgX3_RGJB4AaABAg,@TobiasWahren,Nervige Bildregie ... oder wie man das nennt,Nervige Bildregie ... oder wie man das nennt,de,0,0.25
OflReU5RlZM,UgzUuNDsUdw_1b5NO2d4AaABAg,@alainbastien5593,"Tout est dans le sourire du 1er cor, cette symphonie est ma préférée, les musiciens sont parfaits, Eschenbach est complètement animé par l&#39;œuvre, la prise de son est merveilleuse, juste ce qu&#39;il faut de réverbération, ce qui est étonnant dans une grande église ! Je l&#39;écoute en boucle sans me lasser... Merci !","Tout est dans le sourire du 1er cor, cette symphonie est ma préférée, les musiciens sont parfaits, Eschenbach est complètement animé par l'œuvre, la prise de son est merveilleuse, juste ce qu'il faut de réverbération, ce qui est étonnant dans une grande église ! Je l'écoute en boucle sans me lasser... Merci !",fr,3,0.25
OflReU5RlZM,UgwdyjELM07bhrmMKGh4AaABAg,@shin-i-chikozima,"Bruckner’s symphies, like widow blowing Cherry Blossom in full bloom, gentle touches everything in this transiet world with warm, religious, graceful and comfortable feelings","Bruckner’s symphies, like widow blowing Cherry Blossom in full bloom, gentle touches everything in this transiet world with warm, religious, graceful and comfortable feelings",en,7,0.25
OflReU5RlZM,Ugwx3mAUQwND73AjtaR4AaABAg,@marcocaputo1549,The incredile flutist......Excellent performance.,The incredile flutist......Excellent performance.,en,0,0.25
OflReU5RlZM,UgzNNGTnexS1bxDuQ-54AaABAg,@Rosie-t4b,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1630"">27:10</a><br><a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=2960"">49:20</a>",,unknown,0,0.25
OflReU5RlZM,UgxzsUa1EP1DWKcugi94AaABAg,@Fukky1996,"from <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=2999"">49:59</a> incredible harmony &amp;b modulation",from incredible harmony &b modulation,en,0,0.25
OflReU5RlZM,UgxkO7fe5nYg7Vj4idZ4AaABAg,@danielnievaencina6331,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1316"">21:56</a> !!!!!!", !!!!!!,unknown,0,0.25
OflReU5RlZM,UgxDeCNfx_XSmFk7NDN4AaABAg,@moonsmouth,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1979"">32:59</a> The most divine pedal point you&#39;ll ever hear", The most divine pedal point you'll ever hear,en,2,0.25
OflReU5RlZM,UgxPRvCH4tBttF1PT854AaABAg,@loudlong,"The shot of the height of the cathedral at the <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1940"">32:20</a> mark, a most exquisite moment of the slow movement, reminded me of a similar moment in a broadcast of the German Brass, at the <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=325"">5:25</a> mark: <a href=""https://www.youtube.com/watch?v=bcCL1aNPRNg&amp;t=341"">https://www.youtube.com/watch?v=bcCL1aNPRNg&amp;t=341s</a>","The shot of the height of the cathedral at the mark, a most exquisite moment of the slow movement, reminded me of a similar moment in a broadcast of the German Brass, at the mark: ",en,0,0.25
OflReU5RlZM,Ugxcq6O3e1mQjEoVyZd4AaABAg,@loudlong,"I love the way Eshenbach fully luxuriates in the sound of the slow movement, letting it bathe us.","I love the way Eshenbach fully luxuriates in the sound of the slow movement, letting it bathe us.",en,5,0.25
OflReU5RlZM,UgzjUNctzIF8goj2PIV4AaABAg,@None-zc5vg,YUL!,YUL!,cy,0,0.25
OflReU5RlZM,Ugwq_UjDyxt8XmMJ15R4AaABAg,@nickbamber268,Tempo continuity in the first movement not good.,Tempo continuity in the first movement not good.,en,0,0.25
OflReU5RlZM,Ugymq8UH0U79KU6BkNl4AaABAg,@pianistegolfeur,"Une disposition très  particulière de l&#39;orchestre vu la singularité des lieux.... mais une très belle direction  d&#39;Eschenbach, qui semble ici très inspiré.","Une disposition très particulière de l'orchestre vu la singularité des lieux.... mais une très belle direction d'Eschenbach, qui semble ici très inspiré.",fr,0,0.25
OflReU5RlZM,Ugxk-FuNjxkD8EdQtKx4AaABAg,@jeremysolomon2686,SECOND MOVEMENT IS SO GOATED 😍😍😍😍😍😍,SECOND MOVEMENT IS SO GOATED 😍😍😍😍😍😍,en,4,0.25
OflReU5RlZM,Ugz6JggNZTHebPafv6Z4AaABAg,@litoboy5,GREAT,GREAT,de,0,0.25
OflReU5RlZM,UgyDNdANKHtWW_NmM8J4AaABAg,@areyounatz,Alan Arkin conducts so well.,Alan Arkin conducts so well.,en,0,0.25
OflReU5RlZM,UgzOwj8xyOWGLuvOfmB4AaABAg,@DavidA-ps1qr,This is a very controlled performance of this highly inventive work. Bruckner is not everyone&#39;s favourite and it takes patience and musical understanding to fully appreciate his music. I urge others to listen. There are rewards to be had.,This is a very controlled performance of this highly inventive work. Bruckner is not everyone's favourite and it takes patience and musical understanding to fully appreciate his music. I urge others to listen. There are rewards to be had.,en,15,0.25
OflReU5RlZM,UgwfX6bZCSHSNG5YaLV4AaABAg,@robertoschmidlin7318,Muito bom poder ouvir as diversas sinfonias de Bruckner. Um raro privilégio.,Muito bom poder ouvir as diversas sinfonias de Bruckner. Um raro privilégio.,pt,1,0.25
OflReU5RlZM,Ugy4xq7nvm--CaCGJhF4AaABAg,@mikeharper3593,Where is this church?,Where is this church?,en,0,0.25
OflReU5RlZM,UgywN1jlQd8WDn6DiiR4AaABAg,@shin-i-chikozima,"Listening to Bruckner,<br>the passage of time is  visible to me .<br>There is  time when I  can see eternity.<br>I am a wanderer  through time, who is a lover of Bruckner’s symphonies","Listening to Bruckner,the passage of time is visible to me .There is time when I can see eternity.I am a wanderer through time, who is a lover of Bruckner’s symphonies",en,31,0.25
OflReU5RlZM,UgyWFF0V12kcM_ejcG54AaABAg,@johnchessant3012,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=798"">13:18</a> I really love the ending of the first movement", I really love the ending of the first movement,en,3,0.25
OflReU5RlZM,UgwkwhyHcREWLczwJGt4AaABAg,@christiandemullenheim8041,"I think to begin with Bruckner, the 6th is the best. As Dvorak with the same number.","I think to begin with Bruckner, the 6th is the best. As Dvorak with the same number.",en,0,0.25
OflReU5RlZM,Ugxl_fNNxFj8XYPdMCx4AaABAg,@Andrewsgigour,"From since i remember myself, I adored Bruckner more than any other musician","From since i remember myself, I adored Bruckner more than any other musician",en,0,0.25
OflReU5RlZM,UgzmT1rctRp2zmMuFxJ4AaABAg,@alantang5732,"This performance is consistent to Eschenbach&#39;s rendering in his recording with London Philharmonic in 2010, and I like it a lot!<br><br>There seems to be a minor glitch by the oboist in the coda of second movement (<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=1985"">33:05</a>). He added a grace note to the B flat on bar 158 (sounds like a blip of just one octave above, could be just fingering...). It would be negligible if it were other places, but not here, this is the last recall of the main theme, the final touch, specifically written for solo oboe.","This performance is consistent to Eschenbach's rendering in his recording with London Philharmonic in 2010, and I like it a lot!There seems to be a minor glitch by the oboist in the coda of second movement (). He added a grace note to the B flat on bar 158 (sounds like a blip of just one octave above, could be just fingering...). It would be negligible if it were other places, but not here, this is the last recall of the main theme, the final touch, specifically written for solo oboe.",en,0,0.25
OflReU5RlZM,UgxnYDyxjhAYxlmDOHp4AaABAg,@bengtjonsson445,I like Bruckner&#39;s sinfonia,I like Bruckner's sinfonia,no,1,0.25
OflReU5RlZM,UgzZgxH6TyhyLasd3Fl4AaABAg,@Nobilangelo,Bravo!,Bravo!,sk,0,0.25
OflReU5RlZM,UgyXQOy6sxZytWSF4Ux4AaABAg,@itayshanie8633,nice!,nice!,pl,1,0.25
OflReU5RlZM,Ugxv5Gd-I3_1BB40U8t4AaABAg,@FernandoBetelremanescente777,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/CIW60IPp_dYCFcuqTgodEu4IlQ""></a>",,unknown,1,0.25
OflReU5RlZM,Ugya3puhTxYQZJxeOiF4AaABAg,@Butchuckles,I performed in this very church in Germany with Zubin Mehta in1979. Wundebar!,I performed in this very church in Germany with Zubin Mehta in1979. Wundebar!,en,2,0.25
OflReU5RlZM,UgxJXAPPJEa-B05589l4AaABAg,@frankstein9982,"Wonderful performance, but... the cathedral acoustics don&#39;t help, and neither does Eschenbach&#39;s jerking around with the tempi (last example just after: <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=3597"">59:57</a>  )","Wonderful performance, but... the cathedral acoustics don't help, and neither does Eschenbach's jerking around with the tempi (last example just after: )",en,0,0.25
OflReU5RlZM,UgwJW7OjHoMjKN-zLKd4AaABAg,@gmail377,"Does anyone know what skin that is on the timpani at around <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=3000"">50:00</a>?  Doesn&#39;t look anything like calf.",Does anyone know what skin that is on the timpani at around ? Doesn't look anything like calf.,en,0,0.25
OflReU5RlZM,Ugxr8-LuByzobzvO6-x4AaABAg,@studentjohn35,"I wish that the engineers had set up a pair of M150&#39;s in wide A-B out in the free field (say, 14 feet above the first row of audience seating) and mixed that in with all their modern close-miked manipulation.","I wish that the engineers had set up a pair of M150's in wide A-B out in the free field (say, 14 feet above the first row of audience seating) and mixed that in with all their modern close-miked manipulation.",en,1,0.25
OflReU5RlZM,UgxgaSFoqJE6InNNH6l4AaABAg,@柳沼裕也,時空間を完全に超越してしまってます。<br>特にアダージョ。<br>こういう芸術に出会えて本当に生きていて良かったと。,時空間を完全に超越してしまってます。特にアダージョ。こういう芸術に出会えて本当に生きていて良かったと。,ja,5,0.25
OflReU5RlZM,Ugw5-rDAyz19GZyZoft4AaABAg,@kyarspeyk,"GREEEAAAT symphony, excellent performance!<br>I love number 6, one of my favourites, although all Bruckner symphonies are magnificent.","GREEEAAAT symphony, excellent performance!I love number 6, one of my favourites, although all Bruckner symphonies are magnificent.",en,24,0.25
OflReU5RlZM,Ugyr0oC1-U1vSCdcpmJ4AaABAg,@enzosiciliano3428,Mi piace,Mi piace,it,1,0.25
OflReU5RlZM,Ugy94UzFQrGVnaICsCV4AaABAg,@davetodd4906,Very good. And a remarkable church. Is it part of Kloster Eberbach?,Very good. And a remarkable church. Is it part of Kloster Eberbach?,en,1,0.25
OflReU5RlZM,Ugwa_xf8u_N9evg1ntZ4AaABAg,@Paula_Limberg,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=889"">14:49</a>-<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=881"">14:41</a> When the principal hornist smiles - YES! So beautiful! I love that trade-off between 1st and 3rd. I&#39;m totally going to smile there too when we perform this tomorrow!",- When the principal hornist smiles - YES! So beautiful! I love that trade-off between 1st and 3rd. I'm totally going to smile there too when we perform this tomorrow!,en,20,0.25
OflReU5RlZM,UgxJVpsfF3x5ejJrPih4AaABAg,@brucerobinson8498,"Magnificent! Great performance, great orchestra, great conductor, great location!","Magnificent! Great performance, great orchestra, great conductor, great location!",en,4,0.25
OflReU5RlZM,UgyQUbjrqIUGq_DTAbZ4AaABAg,@aramkhachaturian8043,"<a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=345"">5:45</a> such a quiet place with such beauiful melodies, so intense and quiet. it might be one of my favourite parts of this piece. Same thing with <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=487"">8:07</a> but this grows into something incredibly grand in Brucknerian style. <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=809"">13:29</a> start of climax  <a href=""https://www.youtube.com/watch?v=OflReU5RlZM&amp;t=925"">15:25</a> climax of first movement."," such a quiet place with such beauiful melodies, so intense and quiet. it might be one of my favourite parts of this piece. Same thing with but this grows into something incredibly grand in Brucknerian style. start of climax climax of first movement.",en,9,0.25
OflReU5RlZM,UgylrRXrChCr_W888pF4AaABAg,@shin-i-chikozima,"I will never be tired of listening to Bruckner‘s symphonies again and again.<br><br>Whenever I  listen to Bruckner`s symphonies, I feel Bruckner‘s aesthetics and greatness and universality<br><br>From<br>Tokyo of the Land of the Rising Sun 🇯🇵<br>🌼⛩️🎑🎴🌲🍂🍁🏵️💐🎀🍄🎏🗼🎍","I will never be tired of listening to Bruckner‘s symphonies again and again.Whenever I listen to Bruckner`s symphonies, I feel Bruckner‘s aesthetics and greatness and universalityFromTokyo of the Land of the Rising Sun 🇯🇵🌼⛩️🎑🎴🌲🍂🍁🏵️💐🎀🍄🎏🗼🎍",en,55,0.25
