video_id,title,duration,view_count,like_count,comment_count,relevance_score
OflReU5RlZM,Bruckner: 6. Sinfonie ∙ hr-Sinfonieorchester ∙ Christoph Eschenbach,01:03:40,334305,2852,206,0.25
1Vm9RMR80D0,Bruckner: 6. Sinfonie ∙ hr-Sinfonieorchester ∙ John Storgårds,00:57:14,62336,1044,43,0.25
mSJIqcdmOOM,"Anton Bruckner — Symphony No.6 in A major — Herbert von Karajan, Berliner Philharmoniker [24/192]",00:57:46,10978,176,10,1.0
NDG4ADk5Q7o,"Bruckner Symphony No 6 - Conducted by Sergiu Celibidache, Münchner Philharmoniker, 1991",01:08:07,38923,559,37,1.0
dxCTUr_6S9M,"Bruckner: Symphony No. 6 in A major, WAB 106 [1881 version] (with Score)",00:58:51,38991,427,21,0.75
kYiK1lJ4sQI,Anton Bruckner: Sinfonie Nr. 6 mit Günter Wand (1996) | NDR Elbphilharmonie Orchester,01:00:08,127641,1500,133,0.25
gkkJ9HwLJbc,Bruckner: Symphony No. 6 in A Major: II. Adagio. Sehr feierlich,00:18:58,6750,95,0,0.75
QvqYeG-CcIM,Bruckner: Symphony No. 6 in A Major: I. Maestoso,00:15:17,3987,38,0,0.75
s5GCTdZrU90,Bruckner: Symphony No.8    E. Jochum / RCO 1984 live,01:19:27,144,13,0,0.5
tFXw60qpW20,"Bruckner symphony No,6 Haitink Concertgebouw orchestra '70",00:54:14,2129,38,5,0.5
R3-2gatsQDg,Bruckner: Symphony No.6 Sir Georg Solti/ CSO　ブルックナー：交響曲第6番 ショルティ シカゴ響,01:03:22,67414,809,82,0.75
AJ6K3LeHSQ4,"Bruckner - Symphony No 6 - Tintner, NZSO (1995)",00:59:43,7073,160,21,1.0
t2mn5Hf1Gn4,"Anton Bruckner: Symphony No. 6 in A major. BRSO, Eugen Jochum. Rec. 1966",00:55:11,1583,36,4,0.75
Ph0PXVNIp24,Bruckner: Symphony No. 6 In A Major - Finale,00:13:51,161,3,0,0.75
ciEI_oJ-O_E,Bruckner - Symphony No 6 in A major - Celibidache,01:02:29,17145,232,20,1.0
HC49wsny2SE,Bruckner – Sinfonie Nr. 6 A-Dur | Kent Nagano | SWR Symphonieorchester,00:57:20,67473,725,38,0.5
MkdP3zlufCM,Bruckner - Symphony No. 6 in A major - 2 Adagio - Celibidache,00:22:35,57569,523,62,1.0
kMZG-xUhDMc,"Bruckner: Symphony No. 6 in A Major, WAB 106: I. Maestoso",00:16:41,9256,64,2,0.75
8gNKadsHff4,"Bruckner - Symphony No 6 - Celibidache, MPO (1991)",01:05:47,21346,355,13,1.0
opOOSZGhxG4,Behind the Music: Bruckner's 6th Symphony,00:04:52,1147,17,0,0.25
r_QLRRzT2Ac,Bruckner: Symphony No. 6 / Chailly · Berliner Philharmoniker,00:03:02,49054,367,13,0.75
xwtbNh9OT0c,Bruckner: Symphony no. 6 (Klemperer - RCO - Live 1961),00:51:01,8856,87,15,0.75
OrSwkCdqbyk,Symphony No. 6 (Adagio) – Bruckner #classicalmusic #orchestra #bruckner,00:01:36,12225,619,13,1.0
ZrS321OOtM0,"Bruckner Symphony No 6"" Stanislaw Skrowaczewski",00:57:13,1011,18,3,0.75
K4y0eKgpf58,Bruckner: Sinfonie Nr. 6 · Paavo Järvi & Tonhalle-Orchester Zürich,00:57:06,16413,282,13,0.25
zl52a8sgFBU,"Symphony No. 6 in A Major, WAB 106: I. Maestoso",00:15:33,2818,24,0,0.75
Wr0GWHiOIYQ,Bruckner: Symphony No. 6 / Rattle · Berliner Philharmoniker,00:02:42,12620,318,8,0.75
Yc3lUJRxAqY,"Bruckner - Symphony No 6 (2nd to 4th movements) - Furtwängler, BPO (1943)",00:36:30,8980,195,18,1.0
P9SLdhA4a8A,"Bruckner - Symphony No 6 - Kubelík, Bavarian Radio Symphony (1977)",00:53:41,3546,186,7,1.0
iGSovJ6OzLw,"Bruckner Symphony No 6, 2nd mvt (Eugen Jochum 1967)",00:17:15,9216,70,12,0.75
Y36SXrMf008,"Bruckner Symphony No 6, 1rst mvt (Eugen Jochum 1967)",00:16:37,6244,46,6,0.75
NpGWLkRMGLg,Bruckner - Symphony No.6 　Skrowaczewski Saarbrucken,00:56:52,742,29,0,1.0
Sf_bu9S_ll4,Vienna: City of Dreams—Bruckner's Symphony No. 6,00:03:43,886,2,2,0.75
3B6Hn3uwQ8U,Bruckner | Symphony No. 6 in A major - BLJO,00:53:26,11348,301,32,1.0
1zAn73DAfO4,"Anton Bruckner ""Symphony 6 (Original version)"" Gennadi Rozhdestvensky",00:56:40,754,32,2,0.5
vUjSqoe0j0M,Bruckner: Symphony No. 6 / Blomstedt · Berliner Philharmoniker,00:02:52,92356,439,35,0.75
NzzRhhoq6qU,"Bruckner ""Symphony No 6"" Kurt Eichhorn",01:01:05,1545,44,3,0.5
oIBPfzEIzOM,Bruckner: Symphony No. 6 / Jansons · Berliner Philharmoniker,00:02:55,34822,400,9,0.75
